Target,TeamID1,TeamID2,Season,DayNum,Wins_1,Losses_1,Matches_1,Points_1,Avg_points_per_game_1,Wins_2,Losses_2,Matches_2,Points_2,Avg_points_per_game_2,together_matches_played,together_number_of_wins,together_winning_percentage,Seed_number_1,Seed_number_2,Avg_points_difference,Avg_points_ratio,Wins_difference,Wins_percentage_ratio,Seeds_difference,Seeds_ratio
1,3104,3422,1998,137,21,9.0,30.0,2297.0,76.56666666666666,19,8.0,27.0,2010.0,74.44444444444444,,,,2,15,2.12222222222222,1.0285074626865671,1.105263157894737,0.9947368421052631,-13,0.13333333333333333
1,3112,3365,1998,137,21,6.0,27.0,2116.0,78.37037037037037,22,6.0,28.0,2144.0,76.57142857142857,,,,3,14,1.7989417989417973,1.023493642896628,0.9545454545454546,0.98989898989899,-11,0.21428571428571427
1,3163,3193,1998,137,30,2.0,32.0,2696.0,84.25,20,8.0,28.0,1950.0,69.64285714285714,,,,2,15,14.607142857142861,1.2097435897435898,1.5,1.3125,-13,0.13333333333333333
1,3198,3266,1998,137,28,1.0,29.0,2337.0,80.58620689655173,20,6.0,26.0,1907.0,73.34615384615384,,,,7,10,7.24005305039789,1.0987107390195832,1.4,1.2551724137931035,-3,0.7
1,3203,3208,1998,137,17,9.0,26.0,1818.0,69.92307692307692,17,9.0,26.0,1996.0,76.76923076923077,,,,10,7,-6.846153846153854,0.910821643286573,1.0,1.0,3,1.4285714285714286
1,3234,3269,1998,137,16,10.0,26.0,1765.0,67.88461538461539,17,9.0,26.0,1579.0,60.73076923076923,,,,4,13,7.153846153846153,1.1177960734642178,0.9411764705882353,0.9411764705882353,-9,0.3076923076923077
1,3242,3408,1998,137,22,7.0,29.0,1924.0,66.34482758620689,18,6.0,24.0,1776.0,74.0,,,,5,12,-7.65517241379311,0.8965517241379309,1.2222222222222223,1.0114942528735633,-7,0.4166666666666667
0,3263,3301,1998,137,19,7.0,26.0,2042.0,78.53846153846153,21,6.0,27.0,1933.0,71.5925925925926,,,,13,4,6.945868945868938,1.097019379999204,0.9047619047619048,0.9395604395604396,9,3.25
1,3304,3307,1998,137,21,9.0,30.0,2334.0,77.8,26,5.0,31.0,2245.0,72.41935483870968,,,,9,8,5.3806451612903174,1.0742984409799554,0.8076923076923077,0.8346153846153846,1,1.125
0,3224,3314,1998,137,21,6.0,27.0,1824.0,67.55555555555556,24,6.0,30.0,2366.0,78.86666666666666,,,,15,2,-11.311111111111103,0.8565793181177798,0.875,0.9722222222222222,13,7.5
